Country,Year,Share below $1 a day,Share below $2.15 a day,Share below $3.65 a day,Share below $6.85 a day,Share below $10 a day,Share below $20 a day,Share below $30 a day,Share below $40 a day,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day,40% of median - share of population below poverty line,50% of median - share of population below poverty line,60% of median - share of population below poverty line,40% of median - total number of people below poverty line,50% of median - total number of people below poverty line,60% of median - total number of people below poverty line,Mean income or consumption per day,Median income or consumption per day,Threshold income or consumption per day marking the poorest decile,Threshold income or consumption per day marking the richest decile,mld,gini,polarization,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile2_thr,decile3_thr,decile4_thr,decile5_thr,decile6_thr,decile7_thr,decile8_thr,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_40_median,poverty_gap_index_50_median,poverty_gap_index_60_median,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_215,income_gap_ratio_3000,income_gap_ratio_365,income_gap_ratio_4000,income_gap_ratio_685,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_215,poverty_gap_index_3000,poverty_gap_index_365,poverty_gap_index_4000,poverty_gap_index_685,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_215,avg_shortfall_3000,avg_shortfall_365,avg_shortfall_4000,avg_shortfall_685,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_215,total_shortfall_3000,total_shortfall_365,total_shortfall_4000,total_shortfall_685,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,bottom50_share,middle40_share,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Albania,2019,0,0,1.1501286,14.901863,38.459755,83.263596,95.23524,98.49858,0,0,32827,425328,1097715,2376502,2718196,2811338,3.6192389,8.627423,15.90862,103300,246243,454062,13.749831,11.611524,6.0241885,23.889235,0.1474588,0.30115768,0.26233387,3.5337648,4.9755716,6.0139036,6.9449344,7.9357224,9.0391245,10.381864,12.316567,15.223934,23.634615,7.5972853,8.929593,10.207404,11.607263,13.228971,15.43441,18.562803,16.7816,19.278854,21.391129,0.6073663,1.6632674,3.4030304,0.77943987,1.1192844,1.4903016,80516.14,275615.94,676689.3,,27.300018,45.74572,,58.339127,14.180763,66.94442,21.416641,0,10.49952,38.08953,0,55.559414,0.16309766,65.939316,3.191481,,2.7300017,9.149144,,17.501738,0.51759785,26.77777,1.4670398,0,2996763.8,21742960,0,47573150,16991.186,75281360,623973.1,4.858867,6.8413267,8.269015,9.549167,10.911484,12.428642,14.274888,16.935072,20.932653,32.497196,29.403896,46.96149,1.1009141,4.5665784,3.9655523,2.058128,1.9267762
Albania,2020,0,0.021277364,1.4779634,13.671991,35.574886,82.36129,95.337006,98.848305,0,604,41942,387990,1009562,2337289,2705520,2805166,4.433078,9.581472,16.38831,125804,271908,465075,13.952189,12.064707,6.1324673,24.124557,0.14273629,0.2941963,0.2563543,3.4134176,5.0295076,6.0906267,7.108508,8.1071825,9.219558,10.564972,12.442307,15.26432,22.7596,7.8107047,9.225069,10.602614,12.052878,13.682644,15.852119,19.027773,20.253529,21.98765,23.670969,0.8978542,2.1067429,3.8792677,0.97741145,1.3263727,1.7134998,122962.27,360651.38,796905.94,,27.908188,44.70745,5.4116945,57.332832,15.052641,66.09751,23.727856,0,9.92831,36.821632,0.0011518103,54.659397,0.22247052,65.33627,3.2440667,,2.7908187,8.94149,0.11635144,17.19985,0.54942137,26.439003,1.6253581,0,2817504.5,20898846,70.27627,46534536,23043.83,74165790,630622.7,4.7624645,7.0172644,8.497757,9.917925,11.311295,12.863302,14.740449,17.359743,21.297068,31.754625,29.74924,47.491158,1.0516374,4.5036426,3.9339073,2.00156,1.9654207
Algeria,1988,0,6.4203115,25.193447,63.647186,82.96131,96.65215,98.71876,99.35816,0,1556477,6107652,15429999,20112326,23431400,23932406,24087418,7.2130337,13.894343,20.943363,1748657,3368408,5077304,7.464024,5.5539804,2.4595613,12.612111,0.2817323,0.40194908,0.3079208,2.700377,3.8387635,4.8694654,5.867861,6.8979816,8.034993,9.398315,11.240493,14.339386,32.812366,3.2580516,4.007217,4.7561765,5.5539804,6.4674973,7.6174297,9.295196,14.865419,21.393372,25.559568,1.0722477,2.9724681,5.353034,0.33024898,0.5940918,0.85174406,577492.2,2001143.5,4324563.5,,49.01299,68.765724,13.788229,77.9466,27.410275,83.015915,39.289555,0,40.661823,66.463554,0.8852472,76.94792,6.905593,82.48309,25.006697,,4.901299,13.753144,0.29644695,23.383982,1.000475,33.206367,2.6913345,0,98576530,322255420,461412.88,559634940,6110553.5,799855600,41527290,2.015568,2.8652623,3.6345806,4.379785,5.14867,5.9973383,7.014925,8.389931,10.702952,24.491228,24.174448,43.013187,1.8992522,7.2106957,5.127789,2.270824,2.2581182
Algeria,1995,0.23578492,5.7705665,24.248316,61.10342,81.14827,96.769936,99.27644,99.999985,67147,1643343,6905440,17401046,23109422,27558164,28271966,28478018,7.3205495,14.216143,21.624329,2084748,4048476,6158181,7.1112137,5.7523637,2.4930446,13.118283,0.20851755,0.35330054,0.31337124,2.8715694,4.0942316,5.2224784,6.329166,7.4802637,8.756291,10.286706,12.342509,15.728198,26.888584,3.3191164,4.1060343,4.900685,5.7523637,6.7299757,7.958033,9.731599,20.33949,23.488863,26.567326,1.4889627,3.33921,5.745005,0.4680006,0.6755824,0.9169495,975663.3,2735079.2,5646741,28.830715,48.31793,67.61474,19.701439,76.94385,27.577194,99.999985,39.163795,0.067978606,39.20916,65.43074,1.1368845,76.387115,6.687004,99.999985,23.93042,0.28830716,4.831793,13.522948,0.42358097,23.083155,1.0065676,39.999996,2.68272,19358.96,111659940,372667620,696088.8,652606140,6950792,1139120600,46682132,2.0420344,2.9114954,3.7138162,4.5008054,5.3193755,6.2267857,7.3150964,8.777022,11.184658,19.121046,25.997711,47.113705,1.4520676,6.1180015,5.261953,2.280503,2.307365
Algeria,2011,0.08932984,0.45546755,4.019208,36.57495,67.96516,95.8093,98.967766,99.81485,32644,166444,1468761,13365782,24836874,35012110,36166324,36475880,2.2495422,6.2465453,13.239776,822062,2282709,4838282,9.225503,8.04364,4.3666134,15.061846,0.12533133,0.27615732,0.22604558,4.0460215,5.3145604,6.3584423,7.306455,8.239473,9.2319145,10.385396,11.898996,14.356383,22.862358,5.406719,6.311133,7.1677933,8.04364,9.013708,10.199637,11.879405,21.289364,18.868402,19.476805,0.47891304,1.1786234,2.5786853,0.6849759,0.7588532,0.9399865,563092.7,1732241,4547920,81.34299,33.907276,57.683987,33.601227,70.164276,19.496868,77.08872,24.850027,0.07266293,23.045134,55.266632,0.15304272,69.44001,0.78361976,76.94599,9.088886,0.8134299,3.3907275,11.536798,0.7224264,21.049282,0.7116357,30.83549,1.7022269,26553.605,84215070,403927650,120243.55,761275140,1045222.75,1124751600,22751594,3.7326584,4.9029493,5.8659825,6.7405725,7.6013284,8.516905,9.58105,10.977422,13.244486,21.091675,31.264954,45.87269,0.9929156,3.976114,3.4493198,1.8725162,1.8420775
Angola,2000,7.8178396,21.360565,39.41161,67.183624,81.03513,94.3731,97.45659,98.28138,1281662,3501864,6461164,11014125,13284950,15471585,15977093,16112310,17.725515,23.473783,28.814629,2905932,3848307,4723888,7.3882604,4.6733184,1.1832685,14.514491,0.51257646,0.5195689,0.46434006,0.983246,2.1953073,3.3424556,4.4953074,5.662774,7.048758,8.808485,11.349456,15.868695,40.245514,2.0325716,2.8962343,3.683556,4.6732674,5.8019943,7.354881,9.664767,42.57357,43.485607,44.47803,7.5463853,10.207717,12.81618,0.7958394,1.0161104,1.2471601,2312655.2,3910304.8,5891444.5,37.77056,58.729233,72.67354,42.685654,79.79749,44.920567,84.24486,52.121788,2.952843,47.591316,68.58427,9.117896,77.76792,17.703918,82.79701,35.017303,0.3777056,5.8729234,14.534707,0.9177416,23.939249,1.6396008,33.697945,3.5703423,484090.9,78021496,224874960,3213806.2,382479600,10593729,542951740,39324196,0.72644776,1.6219501,2.4694932,3.32125,4.183805,5.207806,6.507938,8.385274,11.724205,29.734434,16.67909,43.075394,3.653264,17.654009,12.2664385,3.105855,3.9494562
Angola,2008,1.9820901,14.589688,37.523792,68.875496,83.33393,96.54066,98.69264,99.424614,429946,3164726,8139482,14940144,18076398,20941138,21407936,21566712,10.514784,17.066317,24.74874,2280817,3701944,5368378,6.5260253,4.7030997,1.8340305,12.5816555,0.3116315,0.42715514,0.39136526,2.0719662,3.3566885,4.3156066,5.3045707,6.542602,7.9203568,9.651447,12.291698,16.233332,32.311733,2.511443,3.118874,3.848453,4.7026806,5.685041,7.0073895,9.1451645,26.750877,29.463228,31.146133,2.8127973,5.028288,7.7082753,0.50324816,0.6928425,0.87890023,1147817,2564864,4718268.5,15.447833,55.897034,71.83913,27.688307,79.93986,35.056988,84.43777,47.477894,0.30619028,46.581196,69.35397,4.039638,78.89477,13.154713,83.95191,32.700638,0.15447833,5.5897036,14.3678255,0.5952986,23.981958,1.2795801,33.775105,3.2522357,66417.336,101041704,300878620,1883956.9,513404220,10415119,728417900,48588868,1.3521703,2.1905832,2.8163757,3.461776,4.2697186,5.168845,6.2985587,8.021593,10.593912,21.08672,21.591434,46.096832,2.1471257,8.942375,6.8601127,2.6754222,2.5641234
Angola,2018,8.807866,31.122005,52.90233,77.9747,88.701164,97.573654,98.85972,99.43705,2754531,9732950,16544427,24385444,27739988,30514728,30916924,31097478,15.757524,22.790375,29.130554,4927934,7127355,9110153,5.4820733,3.4205022,1.0746211,10.726535,0.47788966,0.5127211,0.47098193,1.3295416,2.4280908,3.3328607,4.34293,5.5842686,6.9813623,8.868762,11.568738,15.939021,39.624424,1.5913637,2.0957763,2.6909676,3.4202914,4.2730684,5.502722,7.317801,33.702503,35.330982,37.926304,5.310679,8.052064,11.048144,0.4611179,0.6042486,0.7783621,2272358.5,4306694,7090998,31.267843,64.20219,77.629265,38.34217,84.25237,46.37393,87.75513,57.07153,2.75403,56.948097,75.745705,11.932852,83.29166,24.532888,87.26111,44.50136,0.31267843,6.420219,15.525852,0.8243567,25.275713,1.6926485,35.10205,3.9094,861282.44,178096800,473767170,8023422.5,781447300,28003900,1091585300,95332456,0.72886443,1.3310971,1.8270987,2.3808258,3.0613368,3.8272338,4.8619204,6.3420672,8.737888,21.7224,17.017693,43.357883,3.4656658,14.786824,9.98169,3.1361465,3.1827884
Argentina (urban),1980,0.1259436,0.30901247,0.9924695,5.5264745,12.971274,38.751038,60.28005,74.65933,29255,71780,230540,1283740,3013087,9001447,14002403,17342554,12.80041,19.342072,25.90814,2973397,4492954,6018180,32.47283,24.830717,8.657795,63.532894,0.2918472,0.4083086,0.37289864,2.0098562,3.2864354,4.4929876,5.6978583,6.9689035,8.394564,10.122462,12.4679985,16.383562,30.17537,12.649352,16.52977,20.510159,24.830717,29.844448,36.206715,45.496,30.158266,32.58757,34.814556,3.860382,6.3031116,9.019802,2.9954057,4.0458636,5.1868224,8906530,18177880,31215230,99.20713,30.247948,38.374043,57.954483,44.13927,35.264664,49.511734,27.80766,0.12494361,3.9235451,14.870341,0.17908596,26.607174,0.34999114,36.965126,1.5367829,0.99207133,3.0247948,7.6748085,1.2460215,13.241781,1.2871603,19.804693,1.9048246,29023.047,9113970,69084380,89439.42,185416750,296741.94,343463970,2445299.5,6.5265727,10.671987,14.590003,18.50256,22.630003,27.259525,32.870502,40.48712,53.202065,97.98797,22.45604,47.368584,1.9484149,8.790855,7.3382306,2.5586412,2.8680186
Argentina (urban),1986,1.1022475,1.1191322,1.8277317,4.7700963,10.250707,36.40442,58.632385,72.93964,289592,294029,480198,1253243,2693158,9564499,15404433,19163364,10.560836,17.613321,24.59991,2774639,4627532,6463112,35.167553,25.367317,9.810018,69.72409,0.3314283,0.42808887,0.38463652,1.7675407,3.3586144,4.3526125,5.51863,6.666024,7.979804,9.73869,12.087515,16.322485,32.20808,13.270277,17.295898,21.451239,25.367317,31.213692,37.45643,47.56372,36.774357,33.1753,34.401886,3.8836796,5.8432727,8.462832,3.731467,4.207842,5.236101,10353474,19471922,33841508,100.00017,36.9374,37.84185,99.24127,43.112816,66.32131,48.61805,44.349937,1.1022475,3.7863438,13.776106,1.1106427,25.278074,1.2121749,35.461826,2.1155348,1.0000017,3.6937401,7.5683703,2.1336875,12.9338455,2.420728,19.44722,3.0379708,289592.47,9947826,72387670,627366,199238560,1162428.8,372674140,3807315.8,6.216008,11.811425,15.307073,19.407671,23.442776,28.063019,34.24859,42.50883,57.402187,113.267944,21.663422,46.128494,2.147578,9.467245,7.107438,2.7485795,2.5858586
